train_episode,steps,train_reward,mean_Q,test_reward
1,19,19.0,0.09158854186534882,
2,44,25.0,0.3199600875377655,
3,55,11.0,0.4903872311115265,
4,65,10.0,0.6925411820411682,
5,83,18.0,1.1452523469924927,
6,107,24.0,2.0847856998443604,
7,143,36.0,3.7893993854522705,
8,155,12.0,4.324569225311279,
9,166,11.0,4.950389862060547,
10,195,29.0,6.899740695953369,
11,205,10.0,7.8566436767578125,
12,218,13.0,9.029526710510254,
13,226,8.0,9.694419860839844,
14,252,26.0,11.986599922180176,
15,264,12.0,13.330527305603027,
16,277,13.0,14.209972381591797,
17,288,11.0,14.789944648742676,
18,301,13.0,15.679767608642578,
19,316,15.0,16.1607723236084,
20,330,14.0,17.308156967163086,
21,343,13.0,17.49505043029785,
22,356,13.0,18.359407424926758,
23,368,12.0,18.4606876373291,
24,385,17.0,18.99826431274414,
25,393,8.0,19.073871612548828,
26,404,11.0,19.687374114990234,
27,416,12.0,19.250686645507812,
28,427,11.0,20.054533004760742,
29,437,10.0,20.250734329223633,
30,452,15.0,20.623319625854492,
31,469,17.0,21.122695922851562,
32,483,14.0,21.5130615234375,
33,493,10.0,21.629745483398438,
34,502,9.0,21.195207595825195,
35,517,15.0,21.327892303466797,
36,534,17.0,21.294511795043945,
37,561,27.0,21.441190719604492,
38,571,10.0,21.54511260986328,
39,585,14.0,21.23137855529785,
40,602,17.0,21.426645278930664,
41,610,8.0,21.527070999145508,
42,622,12.0,20.845561981201172,
43,636,14.0,21.105947494506836,
44,657,21.0,21.005414962768555,
45,703,46.0,20.50423812866211,
46,738,35.0,20.60782241821289,
47,759,21.0,20.992643356323242,
48,785,26.0,21.463428497314453,
49,828,43.0,22.517860412597656,
50,876,48.0,23.434585571289062,
51,977,101.0,26.715845108032227,95.33333333333333
52,1057,57.0,28.498266220092773,
53,1124,67.0,30.854736328125,
54,1254,130.0,34.85426330566406,
55,1329,75.0,36.831356048583984,
56,1399,70.0,38.14942169189453,
57,1480,81.0,40.875953674316406,
58,1584,104.0,44.279109954833984,
59,1691,107.0,45.804840087890625,
60,1816,125.0,48.37046813964844,
61,1881,65.0,49.711769104003906,142.0
62,2068,68.0,52.67173385620117,
63,2152,84.0,54.97382354736328,
64,2312,160.0,58.3120002746582,
65,2512,200.0,62.63032150268555,
66,2691,179.0,65.67102813720703,
67,2891,200.0,68.40803527832031,200.0
68,3200,200.0,75.11013793945312,
69,3400,200.0,79.4357681274414,
70,3600,200.0,83.83475494384766,
71,3791,191.0,85.64599609375,
72,3991,200.0,90.18986511230469,200.0
73,4200,200.0,96.0824966430664,
74,4400,200.0,97.5268325805664,
75,4600,200.0,98.36503601074219,
76,4800,200.0,101.95968627929688,
77,5000,200.0,101.7314682006836,200.0
78,5200,200.0,104.0931167602539,
79,5400,200.0,105.40196990966797,
80,5600,200.0,104.7037124633789,
81,5800,200.0,103.81442260742188,
82,6000,200.0,103.63186645507812,200.0
83,6200,200.0,104.09228515625,
84,6400,200.0,102.69942474365234,
85,6600,200.0,101.31549072265625,
86,6800,200.0,102.3183822631836,
87,7000,200.0,100.82605743408203,200.0
88,7200,200.0,98.92972564697266,
89,7400,200.0,97.94618225097656,
90,7600,200.0,99.07986450195312,
91,7800,200.0,98.75335693359375,
92,8000,200.0,99.05888366699219,200.0
93,8200,200.0,100.7352523803711,
94,8400,200.0,98.94892883300781,
95,8600,200.0,99.78617095947266,
96,8800,200.0,100.29139709472656,
97,9000,200.0,100.50102233886719,200.0
98,9200,200.0,98.44982147216797,
99,9400,200.0,98.73688507080078,
100,9600,200.0,99.33000183105469,
101,9800,200.0,100.29220581054688,
102,10000,200.0,99.49247741699219,200.0
