train_episode,steps,train_reward,test_reward
1,100,-180.60944631058953,
2,196,-627.9118776533655,
3,284,-1080.0953339957923,
4,343,-752.8440018562061,
5,449,-1133.5693155065906,
6,534,-364.2745812521383,
7,740,-486.4305044563331,
8,903,-405.6465772688074,
9,999,-262.1944434071495,-254.65530503420672
10,1088,-248.39613738106675,
11,1225,-187.75328133938584,
12,1361,-118.16822524092942,
13,1713,-137.69399407377864,
14,1798,-207.61570140945918,
15,1933,-167.28413066424253,-306.21550007065247
16,2091,-367.8567084475679,
17,2192,-344.44754369861255,
18,2268,-137.98436289499003,
19,2364,-336.39177741958395,
20,2467,-142.5418680606212,
21,2561,-153.42294342156546,
22,2763,-42.960833235384506,
23,2849,-5.2466144505222445,-323.86863735236284
24,3134,-31.056629538140015,
25,3405,-72.60162961487327,-174.3104260831302
26,4444,-216.37114899192395,
27,4515,-22.956738687114125,
28,4857,-221.5656658996524,-189.91646921563466
29,5291,-72.17318962800431,-269.6263101938246
30,7000,-227.5436324848788,-265.5296278566601
31,8000,-84.58046422605058,-362.4949604286015
32,8223,-165.51162415627445,
33,8437,-471.5737408272368,-162.64496709464407
34,9570,-152.85594307216638,-168.65090173524027
35,10291,-87.21130274816296,
36,10371,-314.89273282263014,
37,10710,-206.1752519097339,
38,10865,-459.67553687115344,-220.23549981652
39,11192,-177.7858334017107,
40,11402,-169.73293844915364,
41,11591,-180.48636963501366,
42,11834,-144.07460982797417,-95.7710732889093
43,12276,-170.9374761224033,
44,12528,-188.22774760897232,
45,12738,-134.28410266324664,
46,12892,-144.48978598033978,-200.9862489196562
47,13173,-216.4372016103436,
48,13369,-254.20187445512826,
49,13620,-200.45206086262314,
50,13747,-180.91945025758758,
51,13911,-197.61852460247673,-219.45094625526227
52,14224,-379.92936083724044,
53,14454,-271.6772804725532,
54,14843,-189.64683372047892,-180.9372334712168
55,15174,-210.05048369883713,
56,15336,-310.2732241709282,
57,15596,-194.60010351719887,
58,15717,-283.8512086428435,
59,15875,-195.81653860389713,-235.00886511543567
60,16698,-325.35470870458585,-331.5081259355984
61,17094,-235.72171183592852,
62,17218,-191.6496250386594,-281.0696899076788
63,18430,-84.52347616891767,
64,18862,-226.19548134147843,-150.08525353198846
65,20000,-43.03804788445815,-279.17023309076836
66,20705,-359.22422493029734,-288.10933411997775
67,21304,-302.39433032670996,
68,21764,-162.93082267484874,-175.81533413846637
69,22256,-232.53040305196615,
70,22416,-260.5164349172362,
71,22712,-254.36223553975117,-329.7077121587107
72,23135,-59.30829572400247,
73,23260,-237.31939820325172,
74,23449,-308.17779070877975,-256.97813076461796
75,24259,-29.147392407649676,-560.2317108303669
76,25632,-1681.6458260003596,-85.09224449181161
77,26746,-156.8291101863771,-295.8464707105418
78,27393,-418.35823894269856,
79,27574,5.373957481079856,-24.930711517063706
80,28182,-5.8364436868712914,
81,28600,-270.42080888190844,-143.80617294334738
82,29522,-97.73112159343985,
83,29917,9.277919328519204,-36.502257823114874
84,31000,38.08962075354995,-152.14553325742403
85,31783,-364.9794895818094,
86,31888,-136.4495799569844,-424.7967976279557
87,32185,-116.06049890183155,
88,32294,-158.80552528302672,
89,32389,-203.39200688191542,
90,32865,-355.6005348695887,-284.2733614639079
91,34000,-142.97724800237407,-108.580316715414
92,35000,-126.98118745415566,-247.7843152668678
93,36000,-78.47529158888094,-71.63786532702589
94,36697,-152.75508926037054,-129.2777875917312
95,37416,-111.52677084589726,-183.8513364372513
96,38130,-219.21408712584244,
97,38334,-164.2428215560875,
98,38508,-234.33629651372374,
99,38671,-230.04709139308025,
100,38869,-198.7333682582684,-138.41009920844584
101,39145,-188.67854142183347,
102,39438,-160.28920077009718,
103,39752,-223.28949868777931,
104,39983,-129.0698393776627,-160.9891678538268
105,40186,-15.74508898302524,
106,40584,-177.79339599385497,
107,40912,-206.8398193588901,-160.69798674827518
108,41256,-217.0883528272533,
109,41652,-211.58427712521302,-232.71624966260612
110,43000,-12.114902018860146,-69.11220877613643
111,44000,-63.0078017971149,-77.78936688908036
112,45000,-46.88658987843987,-45.8510802994421
113,46000,-40.273203072364275,-21.95320703983824
114,47000,-10.261698171208845,-188.14743320093527
115,48000,-121.19233802392903,-86.77385576522798
116,49000,-52.85301989362166,-68.7084634675962
117,50000,-61.315385470939155,-111.38980214511729
118,51000,-80.27913650972827,-50.45353504662075
119,52000,-126.03068196113671,-130.43781474169643
120,52851,-229.87580106457312,-136.15559162118927
121,54000,-142.6620161726616,-61.94065477411889
122,54414,-204.37570236569385,
123,54937,-220.4041669744962,-69.22801525105919
124,55412,-140.63370576635566,
125,55743,-55.225398677921916,-175.34113923995778
126,57000,-82.33430522727242,-88.53436098677892
127,58000,-124.2133940579825,-164.9708816380489
128,59000,-60.6726543410628,-70.06779843591463
129,60000,-23.751317044796398,-54.440490752202045
130,61000,-37.598580977322925,-28.770481399701524
131,62000,-63.50442557551636,-32.46672522296016
132,63000,-124.13626653396388,-76.30978680189853
133,64000,-100.46842448514032,-32.03364643633136
134,65000,-97.64093050253364,-67.34471052595666
135,66000,-115.12828285740304,-78.83903934613016
136,66287,-191.12177868062588,-220.11092244186128
137,68000,-180.590720782996,-182.58776711851021
138,69000,-76.32509368770761,-195.96755821487713
139,69307,-140.06773243116638,-73.56473064309684
140,71000,-131.4083798103476,-64.37081260166576
141,72000,-159.90726715499105,-116.61320921316752
142,73000,-158.26054089540065,-163.63861669837087
143,74000,-58.524241150950004,-75.9097523538238
144,75000,-55.91959403769878,-76.41419974508987
145,76000,-53.91184363056595,-12.765566324826734
146,77000,-87.6234240641915,-42.77788063266633
147,78000,-100.300131326392,-109.4873662293786
148,78876,-204.2237148313198,-122.99820246661574
149,80000,-58.708552548141036,-75.7284540487659
150,81000,-65.28284267907824,-138.02771146083114
151,82000,-27.932598682262473,-121.87980186613851
152,83000,-145.6584041007571,-201.94309497196394
153,84000,-220.95999942679623,-247.986588615713
154,85000,-194.7351275196638,-151.72926954263065
155,86000,-149.34153977518193,-163.0116206360956
156,87000,-125.34032952310007,-283.4542572169162
157,88000,-51.84991131871237,-55.37767909325818
158,89000,-5.164153052123767,-44.19663480653298
159,89953,-225.29752703505392,-30.466701394888965
160,90614,-164.2874044063592,-46.31491118860746
161,91790,-140.56085030125163,-31.040469488061948
162,93000,29.241263040550066,54.65201301203011
163,94000,25.978770131349677,-17.317235269284673
164,95000,31.900110459799688,-87.52110548733347
165,96000,-50.99333214598489,-71.22569544817615
166,97000,-23.44108551936726,-92.86274022270426
167,98000,-16.49275075805413,-16.421817721278906
168,99000,-61.5100402475817,-88.29495363574448
169,100000,41.52194546484337,-44.66471833993182
170,101000,-19.712576959966448,-69.33338643350716
171,102000,-80.51679114184626,-80.60115723389
172,103000,1.5719634504037512,-94.44251786021931
173,104000,10.893450911598135,29.02577004827185
174,105000,-28.091238943375743,38.112151379067484
